id,text,language
0,Otra fotito porque pues #amor ??  WEBSITE2018 ,SPA
1,  @USER    @USER  タイタニック２号、２０２２年に旧航路で出航へ #旅行 #歴史  WEBSITE2018 ,JAPANESE
2,"Que o Eterno nos livre do mal, ilumine nosso caminho e nos afaste da iniquidade. #bomdia #fé #cristianismo #jesuscristo #amor #salvopelagraça 🙏♥️ em São Paulo, Brazil  WEBSITE2018 ",PORTUGUESE
3,  @USER    @USER  The Beautiful #KajalAggarwal #Love #picoftheday  @USER  💞💞💞  WEBSITE2018 ,ENGLISH
4,"  @USER    @USER  This is my painting ""Gazing Along The Hills"". You can check it out here:  WEBSITE2018 #art #oilpainting #contempor…",EN
5,Die Kunst und der Schatten  WEBSITE2018 #art #artist #shadow #Schatten #Kunst #Objekt #Malerei #painting,GER
6,Negli ultimi anni il #cio  @USER  olato ogni tanto mi porta a #Firenze. Città di una #bellezza da togliere il fiato.,ITA
7,  @USER    @USER  STAY CALM!!! 👌🙏😳 Would you try this? 😱 Wild glass 🌉 bridge in #China🇨🇳   #travel #ecotourism #adventuretravel via  @USER ,EN
8,世界遺産や重要文化財などが多い奈良県の『室生寺』＆『長谷寺』！日本最古の木造建築や、ひっそりとして神秘的な景観が特徴的なスポットです！！→ WEBSITE2018 #室生寺　#観光　#長谷寺　#旅行　#奈良　#日本,JAPANESE
9,"  @USER    @USER  Fragt man mich, ob es in meiner #Natur sei, die #Sonne zu verehren, so sage ich abermals Durchaus! Denn sie ist gleich…",GERMAN
10,Meeeeoooooowwww | ニャー ニャー 🐯:  @USER  . . .  WEBSITE2018 #ニャー #cat #猫 #ねこ #meow #ネコ #にゃんこ #にゃんすたぐらむ #ねこすたぐらむ #ねこ部 #kitty #ニャンコ #야옹 #にゃー #고양이 #pdx #portland #halloween #pnw #photography #ポートランド #art #アート  WEBSITE2018 ,JAPANESE
11,Melhor ligação ontem 😍😍🙈#Amor,PORTUGUESE
12,  @USER    @USER  ❤C A R I B B E A N ღＨＡＶＥ Ａ ＭＡＧＩＣＡＬ ＤＡＹ❤️Good Morning ❤Men At Work -Down Under-Reggae  WEBSITE2018 #Caribbean  #Bu…,ENG
13,"  @USER    @USER  Where can you find the essence of #America? For us, it’s on Historic #Route66! Because in the #USA the bigger, the loud…",ENG
14,#PhytothÚrapie et #beautÚ : ces #plantes qui nous rendent plus belles &gt;&gt;  WEBSITE2018  WEBSITE2018 ,FRA
15,  @USER    @USER  Ci mancava pure questa..venduta all'asta da Christie's la prima opera d'arte realizzata da un algoritmo. L'acquirente anonimo…,ITA
16,NUEVO! Vestido S·per Nenas!????????? Tallas S o M !  por solo 20.99Ç ?? YA EN NUESTRA WEB! ?? ????COMENTA Y COMPA  @USER  E???? #sweetpoison #ropa #lowcost #moda #ciudadreal #sweetgirls #sweetboysà  WEBSITE2018 ,SPA
17,Reinaremos por direito que assim seja feito🎶🎶😍💑💏  #amor  WEBSITE2018 ,POR
18,"  @USER    @USER  ⚡️ “Terza anticipazione”  @USER  con noi a #pazzaidea18  Settimana ri  @USER  a di anticipazioni: #musica, #fotografia,…",ITALIAN
19,  @USER    @USER  #TVTipp #Fernweh 1325  @USER  2 Teile Am anderen Ende der Welt - Auf Schienen durch #Neuseeland  WEBSITE2018 #t…,GERMAN
20,Não pode deixar de colocar esses lugares no roteiro! #viagem #LasVegas  WEBSITE2018 ,PT
