id,text,sentiment
0,my hair is blue. ,1
1,"i'm sweating my forthcoming trip to e3.  if i can't find someone to crash with while i'm out there, i may be screwed.  ",0
2, @USER  i'm sorry i don't understand your last comment ,0
3, WEBSITE2018 - my cupcakes ,1
4,reading buyology before bedtime... great premise but only turning out to be an &quot;ok&quot; book - lots of info i already knew ,0
5, @USER  i had 2 put my dog down today too  someone ran her over,0
6, @USER   that you won't be here for the festivities.,0
7, @USER  stuck inside work? thats bad  is it busy today?,0
8,just melted cho  @USER  ie  listening to crude vce literature ,1
9, @USER  it wasn't spam. i'm just jealous i don't have the $39 for the bundle ,1
10,is watching glawster  getting chewed up and spat out by cardiff.   glad i'm in the pub and not at twickenham.,0
11," @USER  no, but 34f is not good for bare little piggies! not to mention there are icy patches, and i don't have any stud-soled flops ",1
12, @USER  ï¿½ i sense that you were an english teacher in a past life.  ,1
13, @USER  i'm doing the time warp without you and am sad. ,0
14,"i'm so behind in video games, and everything for that matter. i'm yesterday's news ",0
15,is really sad and doesn't really know y!!??!!! ,0
16,good morning everyone ,1
17,chi?u nay h?p chu?n b? t? ch?c m?y s? ki?n ? tr??ng ! bao nhi�u vi?c ,0
18,back in ky!! ,1
19,100 followers - that is exciting ,1
20," @USER  still its fun to go out there. im jealous, you were at wrigley field though., i might have to go out there this summer ",1
21,god is a faithful god...i said promising and promising it was. time for bed...so tomorrow may bring another beautiful day  goodnight luvs.,1
22,wishing i was home underneath my covers ,0
23,...aaaand there goes that great day  rip mrs wever,0
24, @USER  sorry you missed it ,0
25,anyone who reads this pray for my grandma. she's in pain ,0
26," @USER  wow, no kidding... lots of cataan players out there. guess i can give it a go... ",1
27,i think im in love ,1
28, @USER   @USER  g'knight lovely ladies. i'm sleepy now ,0
29,&quot;a little bit of paranoia could prolong your life...how much do you ever really know about the person sharing your room?&quot; - law &amp; order  ,1
30,need a hug ,0
31, @USER  hi steven! man it's only been a week and i'm already behind on school work ,0
32, @USER  lol.  u read my bio but spelt my name wrong           darylo ... ahem ;),0
33,taking son to have his braces taken of     big day in teen age boy's life!,1
34, @USER  no but i do now - thanks! ,1
35, @USER  i am doing well also. i am defiantly getting fed up with this snow though ,1
36,i'm having a conversation with my bro via twitter/fb and he's only in the next room ,1
37,what? apparently it's 52 degress at 11pm in washington state. i miss winter already ,0
38,"ok, no gold, nate lost the first round ",0
39, @USER  what is the software on the middle screen? i have used adobe premiere and sony vegas for amateur video making ,1
40," @USER  the internet blows my mind everyday, the way nothing else can! ",1
41," @USER  thank u so much, you're not late, technically there are 45 mins left in the day since i'm in cali.  ",1
42," @USER  agreed on the straight-through part, but we might have to compromise at a couple of fingers of scotch. ",1
43,just bought a wheel barrow.  time to start moving some rocks. ,0
44,"i'm gunna have a lazy day today.  woo, good timezzzzzzzz",1
45, @USER  aw i wish i could! i can't really speak to my yia yia because she doesn't speak english ,0
46, @USER  i know the feeling today!  i  need you here to make coffee ,0
47,i don't understand why wesh insist on showing regis and kelly instead of nbc today or wesh 2 news. lucky brighthouse has on-demand ,1
48," @USER  i sure wish i could go with you guys tmrw. but as per usual, school interferes. ",0
49," @USER  my reaction too  whoa, didn't see that coming",0
50, @USER   i havent but since you turned me on to it..i will  all of them!  WEBSITE2018 ,1
51,i could spend an entire day writing witty responses to  @USER  tweets. and it would be a day well spent. ,1
52,soo tired  babysitting today from 3-? may have to go to a late movie...,0
53, @USER  don't blame me.  i just like good things. ;),1
54," @USER  instead of giving to charity, give to individuals in need.  charities have too much overhead,it just goes 2 salaries. ",0
55,sad that the 'feet' of my macbook just fell off ,0
56," @USER  that's pretty cool, man.  i'm not a fan, but lossless ftw!  i'll check it out ... ",1
57,"whatta mess! we should have won this! anyways, not bad after all! we won another series abroad. ",1
58, @USER  boy stop pssh!  what you been up to?,1
59, @USER  the media is a trip [period] we have to guard our minds...along with our hearts. don't fret ms.badu ur the best!! its true ,1
60,"hehe dun worry people, i place value on people, not things.. but thanks for the cheering up! ",1
61,realized that most of her friends are either busy or going away for vacation ,0
62,"train rammed, fellow commuters vile . special derision reserved for the man who appeared out of nowhere to claim 'his' seat. luggage rack ",0
63,"will be part of my friend's wedding entourage. in tagalog, abay sa kasal. i'll be carrying the veil. thanks, mau. ",1
64,"received my bday parcel from home! n now i can hav my tang hun, mee sua, udong mee, ligo raisin, ba hu...... ",1
65, @USER  i found it pretty frustrating. stupid monkeys ,0
66, @USER  the singer? ,1
67," @USER  thanks pam... glad you enjoyed it. yes, life is short, it's *now*. no need to struggle... just make better choices every day. ",1
68, @USER  i'm so sorry you're having to go through this. again.  #therapyfail,0
69," WEBSITE2018 not what i need for my current project, but this is one fun &amp; funky font! ",1
